painting_id,source,filename,painter_name,painting_name,year,style,image_path
0,armenian_local,ivan-aivazovsky-sea-coast-at-night-near-the-beacon.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Sea Coast at night near the Beacon,1837,,data/datasets/armenian/images/ivan-aivazovsky-sea-coast-at-night-near-the-beacon.jpg!PinterestSmall.jpg
1,armenian_local,kerch-1839.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Kerch,1839,,data/datasets/armenian/images/kerch-1839.jpg!PinterestSmall.jpg
2,armenian_local,portrait-of-vice-admiral-m-p-lazarev-1839.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Portrait of vice Admiral M.P. Lazarev,1839,,data/datasets/armenian/images/portrait-of-vice-admiral-m-p-lazarev-1839.jpg!PinterestSmall.jpg
3,armenian_local,odessa-1840.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Odessa,1840,,data/datasets/armenian/images/odessa-1840.jpg!PinterestSmall.jpg
4,armenian_local,the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg,Ivan Aivazovsky,The Bay of Naples at moonlit night. Vesuvius,1840,,data/datasets/armenian/images/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg
5,armenian_local,lunar-night-on-capri-1841.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Lunar night on Capri,1841,,data/datasets/armenian/images/lunar-night-on-capri-1841.jpg!PinterestSmall.jpg
6,armenian_local,th.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Chaos (The Creation),1841,,data/datasets/armenian/images/th.jpg!PinterestSmall.jpg
7,armenian_local,boat-ride-by-kumkapi-in-constantinople-1846.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Kumpaki boat ride in Constantinople,1846,,data/datasets/armenian/images/boat-ride-by-kumkapi-in-constantinople-1846.jpg!PinterestSmall.jpg
8,armenian_local,battle-of-cesme-at-night-1848.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Battle of Cesme at night,1848,,data/datasets/armenian/images/battle-of-cesme-at-night-1848.jpg!PinterestSmall.jpg
9,armenian_local,battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Battle of Chios on 24 June 1770,1848,,data/datasets/armenian/images/battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg
10,armenian_local,portrait-of-i-lazarev-1851.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Portrait of I. Lazarev,1851,,data/datasets/armenian/images/portrait-of-i-lazarev-1851.jpg!PinterestSmall.jpg
11,armenian_local,view-of-constantinople-1851.jpg!PinterestSmall.jpg,Ivan Aivazovsky,View of Constantinople,1851,,data/datasets/armenian/images/view-of-constantinople-1851.jpg!PinterestSmall.jpg
12,armenian_local,sunset-over-the-golden-horn-1866.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Sunset over the Golden Horn,1866,,data/datasets/armenian/images/sunset-over-the-golden-horn-1866.jpg!PinterestSmall.jpg
13,armenian_local,icebergs-in-the-atlantic-1870.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Icebergs in the Atlantic,1870,,data/datasets/armenian/images/icebergs-in-the-atlantic-1870.jpg!PinterestSmall.jpg
