index,source,painting_id,image_path,title,artist,top1_correct,top1_score,best_negative_score,best_negative_image_path,best_negative_title,best_negative_artist
0,armenian_local,0,data/datasets/armenian/images/ivan-aivazovsky-sea-coast-at-night-near-the-beacon.jpg!PinterestSmall.jpg,Sea Coast at night near the Beacon,Ivan Aivazovsky,True,1.0263355539739132,0.6763154725730419,data/datasets/wikiart_raw/Impressionism/pericles-pantazis_lighthouse-of-marseille.jpg,lighthouse of marseille,pericles pantazis
4,armenian_local,1,data/datasets/armenian/images/kerch-1839.jpg!PinterestSmall.jpg,Kerch,Ivan Aivazovsky,True,1.0281660248339177,0.7822618670761585,data/datasets/armenian/images/odessa-1840.jpg!PinterestSmall.jpg,Odessa,Ivan Aivazovsky
8,armenian_local,2,data/datasets/armenian/images/portrait-of-vice-admiral-m-p-lazarev-1839.jpg!PinterestSmall.jpg,Portrait of vice Admiral M.P. Lazarev,Ivan Aivazovsky,True,1.028936175107956,0.5720088397711516,data/datasets/wikiart_raw/Post_Impressionism/david-burliuk_marusia-by-the-sea-1949.jpg,marusia by the sea 1949,david burliuk
12,armenian_local,3,data/datasets/armenian/images/odessa-1840.jpg!PinterestSmall.jpg,Odessa,Ivan Aivazovsky,True,1.0283215607702731,0.8031661514937878,data/datasets/armenian/images/kerch-1839.jpg!PinterestSmall.jpg,Kerch,Ivan Aivazovsky
16,armenian_local,4,data/datasets/armenian/images/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg,The Bay of Naples at moonlit night. Vesuvius,Ivan Aivazovsky,True,1.0287536159157753,0.6509358182549476,data/datasets/wikiart_raw/Impressionism/leon-dabo_moon-on-the-lake-1907.jpg,moon on the lake 1907,leon dabo
20,armenian_local,5,data/datasets/armenian/images/lunar-night-on-capri-1841.jpg!PinterestSmall.jpg,Lunar night on Capri,Ivan Aivazovsky,True,1.0287776798009873,0.7547544521093369,data/datasets/armenian/images/battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg,Battle of Chios on 24 June 1770,Ivan Aivazovsky
24,armenian_local,6,data/datasets/armenian/images/th.jpg!PinterestSmall.jpg,Chaos (The Creation),Ivan Aivazovsky,True,1.027082224935293,0.6398575137555599,data/datasets/wikiart_raw/Romanticism/frederic-edwin-church_aurora-borealis-mt-desert-island-from-bar-harbor-maine-1860.jpg,aurora borealis mt desert island from bar harbor maine 1860,frederic edwin church
28,armenian_local,7,data/datasets/armenian/images/boat-ride-by-kumkapi-in-constantinople-1846.jpg!PinterestSmall.jpg,Kumpaki boat ride in Constantinople,Ivan Aivazovsky,True,1.0288245069980622,0.6410360008478164,data/datasets/wikiart_raw/Early_Renaissance/domenico-veneziano_the-miracle-of-st-zenobius-1448.jpg,the miracle of st zenobius 1448,domenico veneziano
32,armenian_local,8,data/datasets/armenian/images/battle-of-cesme-at-night-1848.jpg!PinterestSmall.jpg,Battle of Cesme at night,Ivan Aivazovsky,True,1.0284580029547215,0.6600130540132523,data/datasets/wikiart_raw/Romanticism/victor-meirelles_o-combate-naval-do-riachuelo-1883.jpg,o combate naval do riachuelo 1883,victor meirelles
36,armenian_local,9,data/datasets/armenian/images/battle-of-chios-on-24-june-1770-1848.jpg!PinterestSmall.jpg,Battle of Chios on 24 June 1770,Ivan Aivazovsky,True,1.0290944974124432,0.8690510112047195,data/datasets/wikiart_raw/Baroque/hendrick-cornelisz-vroom_dutch-ships-ramming-spanish-galleys-off-the-flemish-coast-in-october-1602-1617.jpg,dutch ships ramming spanish galleys off the flemish coast in october 1602 1617,hendrick cornelisz vroom
40,armenian_local,10,data/datasets/armenian/images/portrait-of-i-lazarev-1851.jpg!PinterestSmall.jpg,Portrait of I. Lazarev,Ivan Aivazovsky,True,1.0284398895502092,0.7659542852640152,data/datasets/wikiart_raw/Realism/ivan-kramskoy_sophia.jpg,sophia,ivan kramskoy
44,armenian_local,11,data/datasets/armenian/images/view-of-constantinople-1851.jpg!PinterestSmall.jpg,View of Constantinople,Ivan Aivazovsky,True,1.0281667812168598,0.482152371481061,data/datasets/wikiart_raw/Romanticism/franz-richard-unterberger_capri.jpg,capri,franz richard unterberger
48,armenian_local,12,data/datasets/armenian/images/sunset-over-the-golden-horn-1866.jpg!PinterestSmall.jpg,Sunset over the Golden Horn,Ivan Aivazovsky,True,1.0285285001993179,0.6468814235925674,data/datasets/armenian/images/the-bay-of-naples-at-moonlit-night-vesuvius-1840.jpg!PinterestSmall.jpg,The Bay of Naples at moonlit night. Vesuvius,Ivan Aivazovsky
52,armenian_local,13,data/datasets/armenian/images/icebergs-in-the-atlantic-1870.jpg!PinterestSmall.jpg,Icebergs in the Atlantic,Ivan Aivazovsky,True,1.0272937935590745,0.5282829964905977,data/datasets/armenian/images/pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg,Pushkin's farewell to the Black Sea,Ivan Aivazovsky
56,armenian_local,14,data/datasets/armenian/images/st-petersburg-the-ferry-across-the-river-1870.jpg!PinterestSmall.jpg,St. Petersburg. The ferry across the river,Ivan Aivazovsky,True,1.0247094044089318,0.6990220285952091,data/datasets/wikiart_raw/Realism/arkhip-kuindzhi_moonlight-night-on-the-river.jpg,moonlight night on the river,arkhip kuindzhi
60,armenian_local,15,data/datasets/armenian/images/caravan-in-the-oasis-egypt-1871.jpg!PinterestSmall.jpg,Caravan in the oasis. Egypt,Ivan Aivazovsky,True,1.0270313493907453,0.5889467860013247,data/datasets/wikiart_raw/Romanticism/franz-richard-unterberger_monaco.jpg,monaco,franz richard unterberger
64,armenian_local,16,data/datasets/armenian/images/pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg,Pushkin's farewell to the Black Sea,Ivan Aivazovsky,True,1.0280546888709068,0.6388926737010479,data/datasets/wikiart_raw/Romanticism/theodore-gericault_the-tempest.jpg,the tempest,theodore gericault
68,armenian_local,17,data/datasets/armenian/images/self-portrait-1909-1.jpg!PinterestSmall.jpg,Self-portrait,Martiros Sarian,True,1.029061613380909,0.9136884906888008,data/datasets/armenian/images/ԻՆՔՆԱԴԻՄԱՆԿԱՐ.jpeg,ԻՆՔՆԱԴԻՄԱՆԿԱՐ,
72,armenian_local,18,data/datasets/armenian/images/persian-woman-1910.jpg!PinterestSmall.jpg,Persian woman,Martiros Sarian,True,1.0298391953110695,0.7604381392896176,data/datasets/wikiart_raw/Post_Impressionism/amrita-sher-gil_hill-women-1935.jpg,hill women 1935,amrita sher gil
76,armenian_local,19,data/datasets/armenian/images/portrait-of-the-poet-yeghishe-charents-1923.jpg!PinterestSmall.jpg,Portrait of the poet Yeghishe Charents,Martiros Sarian,True,1.0273824527859687,0.7331755033135414,data/datasets/armenian/images/self-portrait-1909-1.jpg!PinterestSmall.jpg,Self-portrait,Martiros Sarian
80,armenian_local,20,data/datasets/armenian/images/may-roses-1939.jpg!PinterestSmall.jpg,May roses,Martiros Sarian,True,1.029314217567444,0.7139816446602345,data/datasets/wikiart_raw/Impressionism/pierre-auguste-renoir_roses-in-a-china-vase.jpg,roses in a china vase,pierre auguste renoir
84,armenian_local,21,data/datasets/armenian/images/apricot-tree-in-blossom-1942.jpg!PinterestSmall.jpg,Apricot tree in blossom,Martiros Sarian,True,1.0278868113458157,0.6542007802426815,data/datasets/armenian/images/staten-island.jpg!PinterestSmall.jpg,Staten Island,Arshile Gorky
88,armenian_local,22,data/datasets/armenian/images/wild-poppies-1945.jpg!PinterestSmall.jpg,Wild poppies,Martiros Sarian,True,1.0282558706402778,0.6510573306679726,data/datasets/wikiart_raw/Impressionism/nicolae-darascu_vase-with-flowers.jpg,vase with flowers,nicolae darascu
92,armenian_local,23,data/datasets/armenian/images/dvin-excavations-1952.jpg!PinterestSmall.jpg,Dvin excavations,Martiros Sarian,True,1.0276024806499482,0.7388357101380825,data/datasets/armenian/images/the-road-to-ararat-1897.jpg,The road to Ararat,Gevorg Bashinjaghian
96,armenian_local,24,data/datasets/armenian/images/still-life-1953.jpg!PinterestSmall.jpg,Still life,Martiros Sarian,True,1.0291996359825135,0.8303850524127483,data/datasets/wikiart_raw/Post_Impressionism/paul-cezanne_still-life-with-curtain-and-flowered-pitcher-1895.jpg,still life with curtain and flowered pitcher 1895,paul cezanne
100,armenian_local,25,data/datasets/armenian/images/sevan-lake-1953.jpg!PinterestSmall.jpg,Sevan Lake,Martiros Sarian,True,1.0286595775187015,0.7421727564930916,data/datasets/wikiart_raw/Post_Impressionism/nicolae-tonitza_mangalia-beach.jpg,mangalia beach,nicolae tonitza
104,armenian_local,26,data/datasets/armenian/images/church-karmravor-of-vii-century-1956.jpg!PinterestSmall.jpg,Church Karmravor of vii century,Martiros Sarian,True,1.0284427598118782,0.6134810182452202,data/datasets/wikiart_raw/Impressionism/lucia-demetriade-balacescu_mangalia-veche-1945.jpg,mangalia veche 1945,lucia demetriade balacescu
108,armenian_local,27,data/datasets/armenian/images/village-ashnak-1957.jpg!PinterestSmall.jpg,Village Ashnak,Martiros Sarian,True,1.0285341976583005,0.6593280071020127,data/datasets/armenian/images/ԳԻՇԵՐԱՅԻՆ ԲՆԱՆԿԱՐ.jpeg,ԳԻՇԵՐԱՅԻՆ ԲՆԱՆԿԱՐ,
112,armenian_local,28,data/datasets/armenian/images/ararat-and-arch-charents-1958.jpg!PinterestSmall.jpg,Ararat and arch Charents,Martiros Sarian,True,1.028983567506075,0.7020798780024051,data/datasets/armenian/images/dvin-excavations-1952.jpg!PinterestSmall.jpg,Dvin excavations,Martiros Sarian
116,armenian_local,29,data/datasets/armenian/images/flowers-in-the-workshop-1958.jpg!PinterestSmall.jpg,Flowers in the workshop,Martiros Sarian,True,1.028585957735777,0.781981380134821,data/datasets/wikiart_raw/Realism/pyotr-konchalovsky_still-life-lilacs-1951.jpg,still life lilacs 1951,pyotr konchalovsky
120,armenian_local,30,data/datasets/armenian/images/portrait-of-catholicos-of-all-armenians-vazgen-i-1959.jpg!PinterestSmall.jpg,Portrait of Catholicos of All Armenians Vazgen I ,Martiros Sarian,True,1.0285929511487484,0.7007509504258632,data/datasets/wikiart_raw/Rococo/dmitry-levitzky_portrait-of-priest-peter-levitzky-1812.jpg,portrait of priest peter levitzky 1812,dmitry levitzky
124,armenian_local,31,data/datasets/armenian/images/portrait-of-mathematics-artashes-shahinyan-1960.jpg!PinterestSmall.jpg,Portrait of mathematics Artashes Shahinyan,Martiros Sarian,True,1.0295670391619205,0.8452413958311081,data/datasets/wikiart_raw/Post_Impressionism/tarsila-do-amaral_portrait-of-oswald-de-andrade-1922.jpg,portrait of oswald de andrade 1922,tarsila do amaral
128,armenian_local,32,data/datasets/armenian/images/landscape-shirak-1962.jpg!PinterestSmall.jpg,Landscape Shirak,Martiros Sarian,True,1.0293994131684303,0.7756390699744224,data/datasets/wikiart_raw/Post_Impressionism/asgrimur-jonsson_mt-str-tur-and-eir-ksj-kull-glacier-west-iceland-1948.jpg,mt str tur and eir ksj kull glacier west iceland 1948,asgrimur jonsson
132,armenian_local,33,data/datasets/armenian/images/portrait-of-katarine-saryan-1963.jpg!PinterestSmall.jpg,Portrait of Katarine Ssaryan,Martiros Sarian,True,1.0296034267544747,0.7452410353720188,data/datasets/wikiart_raw/Post_Impressionism/pierre-bonnard_a-plate-of-figs-1921.jpg,a plate of figs 1921,pierre bonnard
136,armenian_local,34,"data/datasets/armenian/images/minas-avetisyan-houses-in-a-rural-landscape,-jajur,-armenia.jpg","Houses in a rural landscape, Jajur, Armenia",Minas Avetisyan,True,1.0286329808831214,0.7249168360233307,data/datasets/wikiart_raw/Impressionism/auguste-herbin_maison-au-bord-du-fleuve-1906.jpg,maison au bord du fleuve 1906,auguste herbin
140,armenian_local,35,data/datasets/armenian/images/minas-avetisyan-beating-butter.jpg,Beating butter,Minas Avetisyan,True,1.0268762712180615,0.6824674677848815,data/datasets/armenian/images/minas-avetisyan-baking-bread.jpg,Baking bread,Minas Avetisyan
144,armenian_local,36,data/datasets/armenian/images/minas-avetisyan-baking-bread.jpg,Baking bread,Minas Avetisyan,True,1.0283608466386795,0.747560004144907,data/datasets/armenian/images/minas-avetisyan-beating-butter.jpg,Beating butter,Minas Avetisyan
148,armenian_local,37,"data/datasets/armenian/images/minas-avetisyan-red-wine,-1962.jpg",Red wine,Minas Avetisyan,True,1.029059652686119,0.6973322007060051,data/datasets/wikiart_raw/Expressionism/pierre-tal-coat_blue-vase.jpg,blue vase,pierre tal coat
152,armenian_local,38,data/datasets/armenian/images/mother-s-portrait-1964.jpg!PinterestSmall.jpg,Mother's portrait,Minas Avetisyan,True,1.0279500353336335,0.6857916115224362,data/datasets/armenian/images/minas-avetisyan-baking-bread.jpg,Baking bread,Minas Avetisyan
156,armenian_local,39,data/datasets/armenian/images/40441-b.jpg!PinterestSmall.jpg,Philosopher,Minas Avetisyan,True,1.0292821536958217,0.7090424753725528,data/datasets/armenian/images/bound-in-sleep.jpg!PinterestSmall.jpg,Bound in Sleep,Arshile Gorky
160,armenian_local,40,data/datasets/armenian/images/89670-b.jpg!PinterestSmall.jpg,Memory,Minas Avetisyan,True,1.0273986604809762,0.6959410770237446,data/datasets/wikiart_raw/Fauvism/boris-grigoriev_in-a-paris-cafe-1914.jpg,in a paris cafe 1914,boris grigoriev
164,armenian_local,41,data/datasets/armenian/images/40216-b.jpg!PinterestSmall.jpg,Master Gevorg,Minas Avetisyan,True,1.0288187989592552,0.7390227918326855,data/datasets/wikiart_raw/Impressionism/rudolf-schweitzer-cumpana_la-un-pahar-1935.jpg,la un pahar 1935,rudolf schweitzer cumpana
168,armenian_local,42,data/datasets/armenian/images/meditation-my-family-1973.jpg!PinterestSmall.jpg,Meditation. My Family,Minas Avetisyan,True,1.0270410500466824,0.7143199104070663,data/datasets/armenian/images/89670-b.jpg!PinterestSmall.jpg,Memory,Minas Avetisyan
172,armenian_local,43,data/datasets/armenian/images/40312-b.jpg!PinterestSmall.jpg,The resting one,Minas Avetisyan,True,1.028604175299406,0.7610042360424996,data/datasets/wikiart_raw/Abstract_Expressionism/jack-tworkov_weatherman.jpg,weatherman,jack tworkov
176,armenian_local,44,data/datasets/armenian/images/21469-b.jpg!PinterestSmall.jpg,Valya,Minas Avetisyan,True,1.0293583056330682,0.7993059255182743,data/datasets/wikiart_raw/Post_Impressionism/anita-malfatti_fernanda-de-castro-1922.jpg,fernanda de castro 1922,anita malfatti
180,armenian_local,45,data/datasets/armenian/images/21458-b.jpg!PinterestSmall.jpg,Still-life with grapes,Minas Avetisyan,True,1.0277829506993295,0.7160230350494384,data/datasets/wikiart_raw/Impressionism/henri-catargi_still-life-with-guitar-and-fruit-1972.jpg,still life with guitar and fruit 1972,henri catargi
184,armenian_local,46,data/datasets/armenian/images/60562a87edc2c958901b8136.jpg!PinterestSmall.jpg,Waiting,Minas Avetisyan,True,1.0271604888141155,0.7113843142986298,data/datasets/armenian/images/40216-b.jpg!PinterestSmall.jpg,Master Gevorg,Minas Avetisyan
188,armenian_local,47,data/datasets/armenian/images/60562946edc2c9589010c29d.jpg!PinterestSmall.jpg,Crucufication,Minas Avetisyan,True,1.028175674378872,0.787168650329113,data/datasets/wikiart_raw/Expressionism/margareta-sterian_illustration-for-v-voiculescu-s-last-shakespearean-sonnets-1982.jpg,illustration for v voiculescu s last shakespearean sonnets 1982,margareta sterian
192,armenian_local,48,data/datasets/armenian/images/minas-avetisyan-parenthood.jpg,Parenthood,Minas Avetisyan,True,1.028927822560072,0.7610537979006767,data/datasets/wikiart_raw/Realism/mikhail-nesterov_portrait-of-elizaveta-tal-1936.jpg,portrait of elizaveta tal 1936,mikhail nesterov
196,armenian_local,49,data/datasets/armenian/images/minas-avetisyan-portrait-of-a-girl.jpg,Portrait of a girl,Minas Avetisyan,True,1.028918403983116,0.810686285495758,data/datasets/wikiart_raw/Post_Impressionism/anita-malfatti_fernanda-de-castro-1922.jpg,fernanda de castro 1922,anita malfatti
200,armenian_local,50,data/datasets/armenian/images/minas-avetisyan-three-figures.jpg,Three figures,Minas Avetisyan,True,1.028538925945759,0.6990313026309013,data/datasets/armenian/images/self-portrait-1909-1.jpg!PinterestSmall.jpg,Self-portrait,Martiros Sarian
204,armenian_local,51,data/datasets/armenian/images/untitled-self-portrait.jpg!PinterestSmall.jpg,Untitled (Self-Portrait),Arshile Gorky,True,1.0294714725017549,0.8227675251662732,data/datasets/wikiart_raw/Expressionism/josef-albers_portrait-study-1918.jpg,portrait study 1918,josef albers
208,armenian_local,52,data/datasets/armenian/images/nighttime-enigma-and-nostalgia.jpg!PinterestSmall.jpg,Nighttime Enigma and Nostalgia,Arshile Gorky,True,1.0268347622454166,0.5753709502518177,data/datasets/wikiart_raw/Cubism/willi-baumeister_the-sculptor-1923.jpg,the sculptor 1923,willi baumeister
212,armenian_local,53,data/datasets/armenian/images/the-artist-with-his-mother-1936.jpg!PinterestSmall.jpg,The Artist and His Mother,Arshile Gorky,True,1.0274338398873806,0.6640969651937485,data/datasets/wikiart_raw/Abstract_Expressionism/jack-tworkov_red-robe-1947.jpg,red robe 1947,jack tworkov
216,armenian_local,54,data/datasets/armenian/images/5ea96fffedc2c90aa860665c.png!PinterestSmall.png.jpeg,Portrait of Vartoosh,Arshile Gorky,True,1.0289240667223931,0.7723812036216259,data/datasets/wikiart_raw/High_Renaissance/giovanni-antonio-boltraffio_francesco-sforza-count-of-pavia-1498.jpg,francesco sforza count of pavia 1498,giovanni antonio boltraffio
220,armenian_local,55,data/datasets/armenian/images/park-street-church.jpg!PinterestSmall.jpg,Park Street Church,Arshile Gorky,True,1.0285883490741252,0.5747054442763329,data/datasets/wikiart_raw/Realism/ioannis-altamouras_port-of-elsinore.jpg,port of elsinore,ioannis altamouras
224,armenian_local,56,data/datasets/armenian/images/bound-in-sleep.jpg!PinterestSmall.jpg,Bound in Sleep,Arshile Gorky,True,1.028646778166294,0.7628975796699524,data/datasets/wikiart_raw/Cubism/m.-h.-maxy_portrait-of-tristan-tzara-1924.jpg,portrait of tristan tzara 1924,m. h. maxy
228,armenian_local,57,data/datasets/armenian/images/the-barber-composition-no-5.jpg!PinterestSmall.jpg,The Barber (Composition No.5),Arshile Gorky,True,1.027409314662218,0.617953768670559,data/datasets/armenian/images/hitler-invades-poland.jpg!PinterestSmall.jpg,Hitler Invades Poland,Arshile Gorky
232,armenian_local,58,data/datasets/armenian/images/the-artists-s-mother.jpg!PinterestSmall.jpg,The Artists's Mother,Arshile Gorky,True,1.028956964313984,0.7596982610225678,data/datasets/wikiart_raw/Expressionism/amedeo-modigliani_annie-bjarne-1919.jpg,annie bjarne 1919,amedeo modigliani
236,armenian_local,59,data/datasets/armenian/images/hitler-invades-poland.jpg!PinterestSmall.jpg,Hitler Invades Poland,Arshile Gorky,True,1.0275438936054706,0.8202644544839859,data/datasets/wikiart_raw/Abstract_Expressionism/audrey-flack_abstract-force-homage-to-franz-kline-1952.jpg,abstract force homage to franz kline 1952,audrey flack
240,armenian_local,60,data/datasets/armenian/images/portrait-of-azadoohi-liberty-miller.jpg!PinterestSmall.jpg,Portrait of Azadoohi (Liberty Miller),Arshile Gorky,True,1.0296679501235486,0.7644253446161747,data/datasets/wikiart_raw/Expressionism/chaim-soutine_self-portrait.jpg,self portrait,chaim soutine
244,armenian_local,61,data/datasets/armenian/images/staten-island.jpg!PinterestSmall.jpg,Staten Island,Arshile Gorky,True,1.0287689889967442,0.7353644590079784,data/datasets/wikiart_raw/Expressionism/chaim-soutine_ceret-landscape.jpg,ceret landscape,chaim soutine
248,armenian_local,62,data/datasets/armenian/images/pears-peaches-and-pitcher-1927.jpg!PinterestSmall.jpg,Pears Peaches and Pitcher,Arshile Gorky,True,1.0291843509674072,0.9174540255963802,data/datasets/wikiart_raw/Post_Impressionism/paul-cezanne_still-life-pitcher-and-fruit-1894.jpg,still life pitcher and fruit 1894,paul cezanne
252,armenian_local,63,data/datasets/armenian/images/still-life-with-skull.jpg!PinterestSmall.jpg,Still Life with Skull,Arshile Gorky,True,1.0260633866488933,0.6627752193808556,data/datasets/wikiart_raw/Expressionism/vela-zanetti_don-quijote-inmortal.jpg,don quijote inmortal,vela zanetti
256,armenian_local,64,data/datasets/armenian/images/portrait-of-a-woman.jpg!PinterestSmall.jpg,Portrait of a woman,Arshile Gorky,True,1.0284315897524356,0.7626315805315972,data/datasets/armenian/images/21469-b.jpg!PinterestSmall.jpg,Valya,Minas Avetisyan
260,armenian_local,65,data/datasets/armenian/images/self-portrait-at-the-age-of-nine.jpg!PinterestSmall.jpg,Self-portrait at the age of nine,Arshile Gorky,True,1.029187733232975,0.839777525216341,data/datasets/wikiart_raw/Expressionism/marie-laurencin_portrait-of-andr-salmon-1942.jpg,portrait of andr salmon 1942,marie laurencin
264,armenian_local,67,data/datasets/armenian/images/469d48130b1460723c524bf8f7f24bff.jpg!PinterestSmall.jpg,Aviation: Evolution of Forms under Aerodynamic Limitations,Arshile Gorky,True,1.0267538775503635,0.658493330180645,data/datasets/wikiart_raw/Pop_Art/jose-de-guimaraes_untitled.jpg,untitled,jose de guimaraes
268,armenian_local,68,data/datasets/armenian/images/afternoon-sun-1919.jpg,"Afternoon sun, 1919",Gevorg Bashinjaghian,True,1.0289797483384608,0.5599392102658749,data/datasets/wikiart_raw/Impressionism/laszlo-mednyanszky_house-at-dusk-1910.jpg,house at dusk 1910,laszlo mednyanszky
272,armenian_local,69,data/datasets/armenian/images/aurora-at-the-edge-of-a-river.jpg,Aurora at the edge of a river,Gevorg Bashinjaghian,True,1.0293651539087296,0.7386697065830231,data/datasets/wikiart_raw/Romanticism/william-turner_storm-clouds-sunset.jpg,storm clouds sunset,william turner
276,armenian_local,70,data/datasets/armenian/images/cornfield-in-an-open-armenian.jpg,Cornfield in an open Armenian,Gevorg Bashinjaghian,True,1.0292046293616295,0.7468050640821456,data/datasets/armenian/images/view-of-mount-ararat-1921.jpg,View of Mount Ararat,Gevorg Bashinjaghian
280,armenian_local,71,data/datasets/armenian/images/fall-landscape-with-figure-19.jpg,Fall Landscape with Figure,Gevorg Bashinjaghian,True,1.0296878074109554,0.7453732916712761,data/datasets/wikiart_raw/Symbolism/gustave-moreau_view-of-the-villa-borthese-1858.jpg,view of the villa borthese 1858,gustave moreau
284,armenian_local,72,data/datasets/armenian/images/farmyard-scene.jpg,Farmyard Scene,Gevorg Bashinjaghian,True,1.0285385040938855,0.7436342030763626,data/datasets/wikiart_raw/Post_Impressionism/maxime-maufra_the-ponce-paper-factory-on-the-edge-of-the-sathe-woods-1918.jpg,the ponce paper factory on the edge of the sathe woods 1918,maxime maufra
288,armenian_local,73,data/datasets/armenian/images/house-on-the-lake-1923.jpg,House on the Lake,Gevorg Bashinjaghian,True,1.0281437969207763,0.6928904168307781,data/datasets/armenian/images/sevan-lake-1953.jpg!PinterestSmall.jpg,Sevan Lake,Martiros Sarian
292,armenian_local,74,data/datasets/armenian/images/lake-sevan-by-night-1910.jpg,Lake Sevan by Night,Gevorg Bashinjaghian,True,1.02904945358634,0.7160533897578716,data/datasets/wikiart_raw/Post_Impressionism/frank-johnston_serenity-lake-of-the-woods-1922.jpg,serenity lake of the woods 1922,frank johnston
296,armenian_local,75,data/datasets/armenian/images/leo-tolstoy-in-a-bright-field.jpg,Leo Tolstoy in a Bright Field,Gevorg Bashinjaghian,True,1.028713886141777,0.7071452473104,data/datasets/wikiart_raw/Realism/isaac-levitan_in-the-forest-at-autumn-1894.jpg,in the forest at autumn 1894,isaac levitan
300,armenian_local,76,data/datasets/armenian/images/moonlit-river-bank-1896.jpg,Moonlit river bank,Gevorg Bashinjaghian,True,1.0279672499001027,0.7125644154846669,data/datasets/wikiart_raw/Rococo/claude-lorrain_villagers-dancing.jpg,villagers dancing,claude lorrain
304,armenian_local,77,data/datasets/armenian/images/mountain-landscape-with-horses.jpg,Mountain Landscape with Horses,Gevorg Bashinjaghian,True,1.0293406437337398,0.6584770251810551,data/datasets/armenian/images/Աշնանային մառախլապատ օր.jpeg,Աշնանային մառախլապատ օր,
308,armenian_local,78,data/datasets/armenian/images/night-in-manglisi-1924.jpg,Night in Manglisi,Gevorg Bashinjaghian,True,1.028776526004076,0.7363789397478103,data/datasets/wikiart_raw/Impressionism/frits-thaulow_the-battle-of-arques-normandy.jpg,the battle of arques normandy,frits thaulow
